osm_type,osm_id,name,name:be,name:ru
way,548975020,2-РУ (посадка),,2-РУ (посадка)
node,1784577679,2-я поликлиника,,2-я поликлиника
node,6076666560,АБЗ,,АБЗ
node,6076666561,АБЗ,,АБЗ
node,5903611634,АС Копыль,,АС Копыль
node,7253451697,АТЭК-9,,АТЭК-9
node,7253451698,АТЭК-9,,АТЭК-9
node,7253451699,АТЭК-9,,АТЭК-9
node,7253451700,АТЭК-9,,АТЭК-9
node,3016060917,Автостанция Воложин,,Автостанция Воложин
node,5413663646,Автостанция Любань,,Автостанция Любань
way,217468561,Автостанция Любань,,Автостанция Любань
way,561434496,Автостанция Любань,,Автостанция Любань
node,1760232219,Автостанция Старые дороги,,Автостанция Старые дороги
node,1528344959,Автостанция Узда,,Автостанция Узда
way,164506031,Автостанция Узда,,Автостанция Узда
node,5003687117,Алексеевское кладбище,,Алексеевское кладбище
node,5766378144,Алексеевское кладбище,,Алексеевское кладбище
node,6004255843,БелДЖИ,,БелДЖИ
node,6004259214,БелДЖИ,,БелДЖИ
node,7253393311,БелДЖИ,,БелДЖИ
node,7253393312,БелДЖИ,,БелДЖИ
node,4603028589,БелНИИЗ,,БелНИИЗ
node,6996532570,Белэмса,,Белэмса
node,1483591363,Берёзовская,,Берёзовская
node,1483591370,Берёзовская,,Берёзовская
node,5747114438,Блудово,,Блудово
node,5747115822,Блудово,,Блудово
node,9925370457,Богдюки,,Богдюки
node,4426223996,Большие Новоселки,,Большие Новоселки
node,4426223997,Большие Новоселки,,Большие Новоселки
node,6996532560,Борисовская,,Борисовская
node,6996532561,Борисовская,,Борисовская
node,4729231543,Веженка пов.,,Веженка пов.
way,561434498,Веженка пов.,,Веженка пов.
node,1674193933,Великий Гостинец,,Великий Гостинец
node,1674193952,Великий Гостинец,,Великий Гостинец
node,1674193955,Великий Гостинец,,Великий Гостинец
node,5778444087,Велятичи (11-й посёлок),,Велятичи (11-й посёлок)
node,1674193957,Виленский Шлях,,Виленский Шлях
node,1674193949,Виленский шлях,,Виленский шлях
node,6132417289,Вишнеыец,,Вишнеыец
node,5814945928,Выгоничи (р.к.),,Выгоничи (р.к.)
node,1677808850,ГМПТК,,ГМПТК
node,1677808851,ГМПТК,,ГМПТК
node,1677808852,ГМПТК,,ГМПТК
node,1677808853,ГМПТК,,ГМПТК
node,1674193923,Гастрономъ №1,,Гастрономъ №1
node,1759649102,Геологоразведка,,Геологоразведка
node,4232329045,Горбиблиотека,,Горбиблиотека
node,4232329046,Горбиблиотека,,Горбиблиотека
node,1483613206,Горбольница,,Горбольница
node,1483613247,Горбольница,,Горбольница
node,1483624886,Горветстанция,,Горветстанция
node,498464032,Гпту-72,,Гпту-72
node,931687252,ДС3,,ДС3
node,4880299829,ДС3,,ДС3
node,7301927296,"ДЦ ""Планета детства""",,"ДЦ ""Планета детства"""
node,1677808854,ДЮСШ,,ДЮСШ
node,1677808867,ДЮСШ,,ДЮСШ
node,3165032252,ДЮСШ,,ДЮСШ
relation,2086835,ДЮСШ,,ДЮСШ
node,1921347633,Дамановщина,,Дамановщина
node,2801176706,Дамановщина,,Дамановщина
node,4812934021,Домики,,Домики
node,1677877802,Драматический театр,,Драматический театр
node,4161132669,Драматический театр,,Драматический театр
node,2143696623,"Ж/д ""Энергетиков""",,"Ж/д ""Энергетиков"""
node,5196413136,Жемчужная,,Жемчужная
node,5196413228,Жемчужная,,Жемчужная
node,2801176710,Забрежье,,Забрежье
node,767183763,"Завод ""Вторчермет""",,"Завод ""Вторчермет"""
node,767183821,"Завод ""Вторчермет""",,"Завод ""Вторчермет"""
node,5462203019,"Завод ""Вторчермет""",,"Завод ""Вторчермет"""
node,5462225722,"Завод ""Вторчермет""",,"Завод ""Вторчермет"""
node,5164416834,"Завод ""Колорит""",,"Завод ""Колорит"""
node,1788760412,"Завод ""Металлист""",,"Завод ""Металлист"""
node,1419918529,Завод «Строммашина»,,Завод «Строммашина»
node,1419918558,Завод «Строммашина»,,Завод «Строммашина»
node,1480445752,Завод Эмис,,Завод Эмис
node,5562677542,Завод агрегатов,,Завод агрегатов
node,3687375438,Заготзерно,,Заготзерно
node,3687375439,Заготзерно,,Заготзерно
node,5304511715,"КДП ""1-РУ""",,"КДП ""1-РУ"""
node,4956864994,КЗТШ,,КЗТШ
node,4990804107,КЗТШ,,КЗТШ
node,9280580450,КЗЦШ,,КЗЦШ
node,1436844580,КП «Переезд»,,КП «Переезд»
node,1436844583,КП «Переезд»,,КП «Переезд»
node,3890625960,Казеково-1,,Казеково-1
node,4881743021,Казеково-1,,Казеково-1
node,9924460389,Каленковичи,,Каленковичи
node,9924460395,Каленковичи,,Каленковичи
node,1483591356,Калужская,,Калужская
node,1483591385,Калужская,,Калужская
node,5691706758,Качановичи (Р-107),,Качановичи (Р-107)
node,5906196635,Качановичи (Р-107),,Качановичи (Р-107)
node,5845709597,Кобылянка (Заболотье),,Кобылянка (Заболотье)
node,5845714554,Кобылянка (Заболотье),,Кобылянка (Заболотье)
node,4214811757,Козеково-2,,Козеково-2
node,4214811760,Козеково-2,,Козеково-2
node,5983033461,Комсмомолец,,Комсмомолец
node,5983035205,Комсмомолец,,Комсмомолец
node,6587520907,Конечная остановка Макавчицы,,Конечная остановка Макавчицы
node,2132124530,Корма пов.,,Корма пов.
node,2132124533,Корма пов.,,Корма пов.
node,1776152855,Королёво пов.,,Королёво пов.
node,1776152856,Королёво пов.,,Королёво пов.
node,5834919857,Косино (р.к.),,Косино (р.к.)
node,5989351224,Курганье (сельсовет),,Курганье (сельсовет)
node,5989354217,Курганье (сельсовет),,Курганье (сельсовет)
node,5916064516,ЛПУ,,ЛПУ
node,3789338899,Лапенцы,,Лапенцы
node,5746534021,Лапенцы,,Лапенцы
node,1417979278,Львы,,Львы
node,1012354820,"МТЗ ""Колодищи""",,"МТЗ ""Колодищи"""
node,4398904293,"МТЗ ""Колодищи""",,"МТЗ ""Колодищи"""
node,5055626384,МТК Канютичи,,МТК Канютичи
node,9272290409,МТК Канютичи,,МТК Канютичи
node,1677808871,"Магазин ""Алекор""",,"Магазин ""Алекор"""
node,1677808876,"Магазин ""Алекор""",,"Магазин ""Алекор"""
node,4880299830,"Магазин ""Мэтр""",,"Магазин ""Мэтр"""
node,5336694523,"Магазин ""Мэтр""",,"Магазин ""Мэтр"""
node,581996327,"Магазин ""Шахтер""",,"Магазин ""Шахтер"""
node,581996297,Магазин Случь,,Магазин Случь
node,5303505311,Магазин Случь,,Магазин Случь
node,5846128729,Матьковцы (школа),,Матьковцы (школа)
node,2458000331,Машхимпром,,Машхимпром
node,4232298651,Медицинский коледж,,Медицинский коледж
node,1677884815,Межрайбаза,,Межрайбаза
node,1677884823,Межрайбаза,,Межрайбаза
node,4398887093,"Мемориальный комплекс ""Хатынь""",,"Мемориальный комплекс ""Хатынь"""
node,1488273757,Могилёвское областное кадетское училище,,Могилёвское областное кадетское училище
node,2916053482,Молодежный центр,,Молодежный центр
node,1759649148,Молодёжный Центр,,Молодёжный Центр
node,1759649156,Молодёжный Центр,,Молодёжный Центр
node,6996532562,Москвина,,Москвина
node,6996532563,Москвина,,Москвина
node,1231455229,Мост имени Шмидта,,Мост имени Шмидта
node,1231455240,Мост имени Шмидта,,Мост имени Шмидта
node,2961599497,Мощеное,,Мощеное
node,581996300,Набережный квартал (конечная),,Набережный квартал (конечная)
node,5303505283,Нарсуд,,Нарсуд
node,5303505284,Нарсуд,,Нарсуд
node,1483619841,Николаевский Сад,,Николаевский Сад
node,1483619848,Николаевский Сад,,Николаевский Сад
node,4214811801,Новый двор,,Новый двор
node,4214811810,Новый двор,,Новый двор
node,6488834366,Носилово (Конечная),,Носилово (Конечная)
node,1436806029,"ОАО ""Могилёвтёхмонтаж""",,"ОАО ""Могилёвтёхмонтаж"""
node,9024131901,"ОАО ""Могилёвтёхмонтаж""",,"ОАО ""Могилёвтёхмонтаж"""
node,5801185178,"Оздоровит.комплекс ""Ислочь-Парк""",,"Оздоровит.комплекс ""Ислочь-Парк"""
node,5801186490,"Оздоровит.комплекс ""Ислочь-Парк""",,"Оздоровит.комплекс ""Ислочь-Парк"""
node,1449043153,Опытная станция,,Опытная станция
node,3684389314,Опытная станция,,Опытная станция
node,4726444203,Орлево,,Орлево
node,4726444204,Орлево,,Орлево
node,1674193932,"Остановка ""Великий Гостинец 72""",,"Остановка ""Великий Гостинец 72"""
node,7857795965,"Остановка ""Изабелино""",,"Остановка ""Изабелино"""
node,3891269973,"Остановка ""площадь Старое Место""",,"Остановка ""площадь Старое Место"""
node,1680933021,"Остановка ""улица Строителей""",,"Остановка ""улица Строителей"""
node,4323208933,Остановка СШ №7,,Остановка СШ №7
node,790036354,Памятник Воинаи-Интернационалистам,,Памятник Воинаи-Интернационалистам
